table	columns
admin_user	user_id:uuid, email:text, created_at:timestamp with time zone
audit_logs	id:uuid, catalog_id:uuid, actor_id:uuid, action:text, entity_table:text, entity_id:uuid, payload:jsonb, created_at:timestamp with time zone
bookable_resources	id:uuid, catalog_id:uuid, title:text, capacity:integer, image_url:text, is_active:boolean, sort_order:integer, capacity_text:text, resource_type:text
bookings	id:uuid, catalog_id:uuid, resource_id:uuid, status:USER-DEFINED, customer_name:text, customer_phone:text, guests:integer, starts_at:timestamp with time zone, ends_at:timestamp with time zone, comment:text, created_at:timestamp with time zone
cabin	id:text, title:text, capacity:text, feature:text, image_url:text, sort_order:integer, created_at:timestamp with time zone, updated_at:timestamp with time zone
catalog_members	catalog_id:uuid, user_id:uuid, role:USER-DEFINED, created_at:timestamp with time zone
catalog_sections	id:uuid, catalog_id:uuid, key:text, title:text, enabled:boolean, sort_order:integer, settings:jsonb
catalog_snapshots	id:uuid, catalog_id:uuid, reason:text, payload:jsonb, created_by:uuid, created_at:timestamp with time zone
catalog_tag	id:text, name:text, icon:text, color:text, sort_order:integer, created_at:timestamp with time zone, updated_at:timestamp with time zone
catalog_theme_settings	catalog_id:uuid, settings:jsonb, updated_at:timestamp with time zone
catalogs	id:uuid, template_version_id:uuid, slug:text, name:text, description:text, status:USER-DEFINED, logo_url:text, banner_url:text, address:text, map_url:text, whatsapp:text, instagram_url:text, currency:text, language:text, timezone:text, order_settings:jsonb, booking_settings:jsonb, seo:jsonb, pwa:jsonb, created_by:uuid, created_at:timestamp with time zone, updated_at:timestamp with time zone, is_template:boolean, template_name:text
categories	id:uuid, catalog_id:uuid, parent_id:uuid, name:text, slug:text, description:text, image_url:text, icon:text, is_hidden:boolean, sort_order:integer, created_at:timestamp with time zone, updated_at:timestamp with time zone
category	id:text, name:text, image:text, icon:text, kind:text, sort_order:integer, created_at:timestamp with time zone, updated_at:timestamp with time zone
cities	id:uuid, slug:text, name:text, region:text, is_active:boolean, created_at:timestamp with time zone
client_account_sessions	id:uuid, account_id:uuid, token_hash:bytea, expires_at:timestamp with time zone, created_at:timestamp with time zone, last_used_at:timestamp with time zone
client_accounts	id:uuid, name:text, phone:text, phone_normalized:text, password_hash:text, created_at:timestamp with time zone, updated_at:timestamp with time zone
client_addresses	id:uuid, user_id:uuid, title:text, address_line:text, lat:numeric, lng:numeric, comment:text, is_default:boolean, created_at:timestamp with time zone, accuracy_m:numeric, entrance:text, floor:text, apartment:text, intercom_code:text, landmark:text, updated_at:timestamp with time zone
client_profiles	id:uuid, user_id:uuid, default_city_id:uuid, created_at:timestamp with time zone
client_reviews	id:uuid, restaurant_id:uuid, driver_id:uuid, client_name:text, client_phone:text, rating:integer, comment:text, target_type:text, is_visible:boolean, created_at:timestamp with time zone
client_signups	id:uuid, name:text, phone:text, source:text, created_at:timestamp with time zone
client_subscriptions	id:uuid, client_id:uuid, plan_code:text, amount:numeric, currency_code:text, status:text, started_at:timestamp with time zone, ends_at:timestamp with time zone, paid_at:timestamp with time zone, auto_renew:boolean, note:text, created_at:timestamp with time zone, updated_at:timestamp with time zone
clients	id:uuid, owner_user_id:uuid, catalog_id:uuid, company_name:text, owner_name:text, email:text, phone:text, status:text, plan_code:text, subscription_status:text, subscription_started_at:timestamp with time zone, subscription_ends_at:timestamp with time zone, created_by:uuid, created_at:timestamp with time zone, updated_at:timestamp with time zone, first_login:boolean, consent_given:boolean, consent_given_at:timestamp with time zone, consent_source:text, admin_consent_confirmed:boolean, admin_consent_confirmed_at:timestamp with time zone, admin_consent_actor_id:uuid, primary_city:text, service_settlements:ARRAY
content_blocks	id:uuid, catalog_id:uuid, key:text, content:jsonb, updated_at:timestamp with time zone
deliveries	id:uuid, order_id:uuid, driver_id:uuid, delivery_provider:text, status:text, estimated_time_min:integer, estimated_time_max:integer, created_at:timestamp with time zone, updated_at:timestamp with time zone, pickup_qr_token:text, pickup_qr_expires_at:timestamp with time zone, assigned_at:timestamp with time zone, picked_up_at:timestamp with time zone, delivered_at:timestamp with time zone, route_to_restaurant_url:text, route_to_client_url:text, driver_arrived_restaurant_at:timestamp with time zone, driver_arrived_client_at:timestamp with time zone, offered_fee:numeric, pricing_status:text, pricing_note:text, pickup_qr_confirmed_at:timestamp with time zone
delivery_price_requests	id:uuid, delivery_id:uuid, driver_id:uuid, requested_amount:numeric, current_amount:numeric, comment:text, status:text, reviewed_amount:numeric, reviewed_at:timestamp with time zone, created_at:timestamp with time zone
delivery_pricing_rules	id:uuid, from_settlement:text, to_settlement:text, amount:numeric, is_active:boolean, created_by:uuid, created_at:timestamp with time zone, updated_at:timestamp with time zone
delivery_settlements	id:uuid, city_name:text, settlement_name:text, is_active:boolean, created_at:timestamp with time zone, updated_at:timestamp with time zone
delivery_status_history	id:uuid, delivery_id:uuid, status:text, comment:text, created_at:timestamp with time zone
delivery_tasks	id:uuid, catalog_id:uuid, order_id:uuid, delivery_type:text, own_courier_enabled:boolean, assigned_driver_id:uuid, delivery_status:text, address:text, coordinates:jsonb, qr_required:boolean, verified_at:timestamp with time zone, verified_by_driver_id:uuid, verification_method:text, created_at:timestamp with time zone, updated_at:timestamp with time zone, city:text, settlement:text
